股票代號,股票名稱,本益比,殖利率(%),股價淨值比
"1101","台泥","27.10","3.10","1.01"
"1102","亞泥","13.93","5.13","0.82"
"1103","嘉泥","24.43","2.92","0.52"
"1104","環泥","12.39","7.08","0.83"
"1108","幸福","13.89","6.92","1.16"
"1109","信大","10.32","6.69","0.75"
"1110","東泥","42.04","0.97","1.26"
"1201","味全","21.71","1.52","1.18"
"1203","味王","20.02","2.72","1.61"
"1210","大成","12.52","4.38","1.74"
"1213","大飲","","","4.91"
"1215","卜蜂","14.62","5.97","2.66"
"1216","統一","24.73","3.61","3.64"
"1217","愛之味","17.31","1.98","0.76"
"1218","泰山","11.72","","0.76"
"1219","福壽","26.44","5.13","1.18"
"1220","台榮","12.45","2.25","1.29"
"1225","福懋油","25.51","3.08","3.00"
"1227","佳格","21.79","3.37","1.89"
"1229","聯華","22.40","4.02","1.86"
"1231","聯華食","29.37","1.98","5.81"
"1232","大統益","18.13","4.51","4.41"
"1233","天仁","33.99","2.98","1.94"
"1234","黑松","17.27","4.58","0.89"
"1235","興泰","18.13","1.19","1.08"
"1236","宏亞","","2.86","0.76"
"1256","鮮活果汁-KY","17.26","4.87","1.33"
"1301","台塑","","2.68","0.75"
"1303","南亞","77.75","2.25","0.69"
"1304","台聚","","3.13","0.55"
"1305","華夏","","2.85","0.79"
"1307","三芳","12.89","3.87","1.59"
"1308","亞聚","","3.25","0.66"
"1309","台達化","","2.08","0.90"
"1310","台苯","","","0.77"
"1312","國喬","","","0.35"
"1313","聯成","","2.20","0.42"
"1314","中石化","23.34","","0.36"
"1315","達新","70.00","7.14","0.68"
"1316","上曜","","","1.17"
"1319","東陽","17.48","3.48","2.60"
"1321","大洋","45.35","1.23","1.17"
"1323","永裕","9.00","4.06","0.86"
"1324","地球","178.57","1.60","0.97"
"1325","恆大","","2.40","0.79"
"1326","台化","108.33","4.27","0.56"
"1337","再生-KY","","","0.41"
"1338","廣華-KY","","1.81","0.37"
"1339","昭輝","10.22","5.42","1.01"
"1340","勝悅-KY","","","0.41"
"1341","富林-KY","14.44","6.54","2.64"
"1342","八貫","15.77","5.88","3.50"
"1402","遠東新","17.78","4.27","0.74"
"1409","新纖","16.80","3.68","0.63"
"1410","南染","106.32","0.83","2.11"
"1413","宏洲","","","1.33"
"1414","東和","80.67","1.03","1.68"
"1416","廣豐","24.53","3.85","0.61"
"1417","嘉裕","","2.03","0.78"
"1418","東華","56.04","","1.36"
"1419","新紡","20.63","2.71","0.90"
"1423","利華","74.49","1.64","1.11"
"1432","大魯閣","","","2.16"
"1434","福懋","26.23","2.61","0.73"
"1435","中福","","","3.64"
"1436","華友聯","5.01","5.38","2.64"
"1437","勤益控","9.97","3.40","0.83"
"1438","三地開發","","","2.70"
"1439","雋揚","18.87","0.95","1.08"
"1440","南紡","9.57","2.42","0.82"
"1441","大東","10.69","","1.66"
"1442","名軒","7.17","4.94","3.22"
"1443","立益物流","19.59","","1.97"
"1444","力麗","","","0.82"
"1445","大宇","2.37","14.45","0.96"
"1446","宏和","4.12","1.69","2.13"
"1447","力鵬","","","0.67"
"1449","佳和","29.59","0.14","1.12"
"1451","年興","67.00","2.49","0.58"
"1452","宏益","27.28","1.93","0.75"
"1453","大將","23.49","2.03","1.12"
"1454","台富","69.09","1.64","1.16"
"1455","集盛","46.10","","0.81"
"1456","怡華","","1.31","1.01"
"1457","宜進","6.00","7.79","0.83"
"1459","聯發","25.65","","0.99"
"1460","宏遠","","","0.81"
"1463","強盛新","55.78","1.99","1.83"
"1464","得力","24.56","1.50","1.28"
"1465","偉全","75.53","3.48","0.90"
"1466","聚隆","","","0.94"
"1467","南緯","27.37","","0.82"
"1468","昶和","23.39","","1.57"
"1470","大統新創","27.21","2.77","1.79"
"1471","首利","70.53","","1.37"
"1472","三洋實業","24.59","3.19","1.69"
"1473","台南","11.77","3.54","1.24"
"1474","弘裕","12.36","","0.78"
"1475","業旺","9.48","3.56","2.52"
"1476","儒鴻","22.05","2.65","5.16"
"1477","聚陽","19.16","5.20","5.78"
"1503","士電","34.81","1.56","2.62"
"1504","東元","19.63","4.17","1.41"
"1506","正道","98.08","","1.40"
"1512","瑞利","","","1.87"
"1513","中興電","21.15","2.36","4.09"
"1514","亞力","30.52","1.79","4.80"
"1515","力山","10.90","3.90","1.41"
"1516","川飛","79.13","1.70","1.52"
"1517","利奇","","1.42","0.87"
"1519","華城","40.34","1.30","21.48"
"1521","大億","172.65","2.39","1.23"
"1522","堤維西","11.60","3.17","2.11"
"1524","耿鼎","13.65","3.30","2.28"
"1525","江申","16.26","5.50","0.89"
"1526","日馳","","2.54","1.02"
"1527","鑽全","13.47","4.67","1.23"
"1528","恩德","","0.65","1.30"
"1529","樂事綠能","54.53","2.56","2.10"
"1530","亞崴","21.64","4.95","0.89"
"1531","高林股","141.00","1.42","0.70"
"1532","勤美","7.49","4.55","0.83"
"1533","車王電","","","1.77"
"1535","中宇","14.56","5.27","2.15"
"1536","和大","","1.53","2.12"
"1537","廣隆","14.19","4.53","2.87"
"1539","巨庭","20.27","2.69","0.90"
"1540","喬福","21.01","2.85","2.24"
"1541","錩泰","19.51","1.81","1.11"
"1558","伸興","17.32","3.60","1.28"
"1560","中砂","44.89","1.36","6.27"
"1563","巧新","17.05","3.31","1.33"
"1568","倉佑","27.84","4.96","1.51"
"1582","信錦","13.54","4.39","1.78"
"1583","程泰","11.76","6.49","1.20"
"1587","吉茂","","2.89","1.90"
"1589","永冠-KY","","","0.52"
"1590","亞德客-KY","21.78","2.16","3.51"
"1597","直得","157.97","0.73","4.03"
"1598","岱宇","","","0.99"
"1603","華電","12.02","3.62","0.82"
"1604","聲寶","13.68","5.35","1.22"
"1605","華新","26.45","4.47","0.71"
"1608","華榮","12.46","3.84","1.43"
"1609","大亞","19.35","3.96","2.11"
"1611","中電","30.77","3.13","1.18"
"1612","宏泰","13.81","5.84","1.44"
"1614","三洋電","54.29","2.82","1.79"
"1615","大山","14.44","5.15","3.05"
"1616","億泰","17.61","1.93","1.90"
"1617","榮星","","1.60","1.30"
"1618","合機","12.66","2.21","1.42"
"1626","艾美特-KY","","2.14","0.69"
"1702","南僑","10.66","5.02","1.06"
"1707","葡萄王","15.27","4.55","2.24"
"1708","東鹼","10.68","3.99","1.36"
"1709","和益","14.08","2.90","1.06"
"1710","東聯","","1.39","1.06"
"1711","永光","62.86","0.68","1.40"
"1712","興農","17.82","6.47","2.23"
"1713","國化","13.89","3.04","2.15"
"1714","和桐","17.71","3.76","0.63"
"1717","長興","18.83","2.85","1.21"
"1718","中纖","","","0.46"
"1720","生達","12.97","4.39","1.86"
"1721","三晃","","","1.56"
"1722","台肥","29.26","5.05","0.92"
"1723","中碳","16.86","4.38","2.61"
"1725","元禎","20.80","2.32","1.22"
"1726","永記","14.78","4.62","1.23"
"1727","中華化","80.68","0.97","1.82"
"1730","花仙子","14.18","5.25","1.78"
"1731","美吾華","17.50","5.05","1.46"
"1732","毛寶","141.05","","2.31"
"1733","五鼎","28.05","3.74","1.66"
"1734","杏輝","15.92","6.14","1.67"
"1735","日勝化","21.35","2.44","1.31"
"1736","喬山","44.92","0.53","5.57"
"1737","臺鹽","21.54","3.74","0.98"
"1752","南光","34.13","4.84","1.79"
"1760","寶齡富錦","57.39","1.84","3.71"
"1762","中化生","26.19","2.42","0.77"
"1773","勝一","22.75","2.01","4.28"
"1776","展宇","19.57","2.72","1.22"
"1783","和康生","27.13","2.12","3.15"
"1786","科妍","30.72","2.56","3.63"
"1789","神隆","44.00","1.36","1.67"
"1795","美時","16.13","1.76","3.46"
"1802","台玻","","","1.05"
"1805","寶徠","120.00","","1.98"
"1806","冠軍","47.05","","0.72"
"1808","潤隆","4.43","39.74","1.15"
"1809","中釉","89.55","1.02","1.12"
"1810","和成","51.13","1.26","0.71"
"1817","凱撒衛","9.42","4.36","1.39"
"1903","士紙","","","2.32"
"1904","正隆","22.44","2.59","0.73"
"1905","華紙","206.88","","1.13"
"1906","寶隆","","1.08","0.49"
"1907","永豐餘","31.16","3.04","0.73"
"1909","榮成","","","0.69"
"2002","中鋼","76.92","1.75","0.99"
"2006","東和鋼鐵","10.81","6.06","1.61"
"2007","燁興","","","1.00"
"2008","高興昌","88.24","3.33","1.61"
"2009","第一銅","56.64","","1.57"
"2010","春源","11.63","5.51","0.98"
"2012","春雨","18.17","3.60","1.63"
"2013","中鋼構","17.26","3.77","1.89"
"2014","中鴻","","0.55","1.76"
"2015","豐興","17.34","4.75","1.97"
"2017","官田鋼","36.61","","0.85"
"2020","美亞","6.24","14.44","1.64"
"2022","聚亨","143.50","2.32","0.82"
"2023","燁輝","","2.74","1.00"
"2024","志聯","","","1.65"
"2025","千興","","","1.81"
"2027","大成鋼","23.24","4.03","0.99"
"2028","威致","17.50","3.81","1.48"
"2029","盛餘","13.41","5.21","0.77"
"2030","彰源","27.18","2.97","0.95"
"2031","新光鋼","7.73","6.66","1.19"
"2032","新鋼","52.31","","1.04"
"2033","佳大","109.05","","1.75"
"2034","允強","","5.04","1.04"
"2038","海光","311.00","","0.76"
"2049","上銀","53.85","0.83","2.94"
"2059","川湖","31.22","0.95","7.43"
"2062","橋椿","12.69","2.31","0.89"
"2069","運錩","15.67","3.04","0.69"
"2101","南港","12.01","","2.84"
"2102","泰豐","","","1.25"
"2103","台橡","14.61","2.72","0.83"
"2104","國際中橡","","","0.40"
"2105","正新","19.16","4.00","1.81"
"2106","建大","17.00","3.80","1.23"
"2107","厚生","14.36","5.00","0.59"
"2108","南帝","33.65","2.97","1.15"
