上櫃股票個股本益比、殖利率、股價淨值比(依日期查詢)
資料日期:113/12/23
產業類別:全部產業
股票代號,名稱,本益比,每股股利,股利年度,殖利率(%),股價淨值比
"1240","茂生農經","11.64","2.70000000","112","5.21","1.16"
"1259","安心","22.88","1.80000000","112","2.80","0.85"
"1264","德麥","15.38","14.00000000","112","4.53","3.50"
"1268","漢來美食","17.54","7.00000000","112","4.67","2.87"
"1294","漢田生技","14.20","4.00000000","112","4.40","3.19"
"1336","台翰","13.49","0.41000000","112","1.63","1.03"
"1565","精華","15.77","7.00000000","112","3.56","1.57"
"1569","濱川","N/A","1.00000000","112","1.74","2.35"
"1570","力肯","15.65","1.00000000","112","3.61","1.45"
"1580","新麥","11.56","9.00000000","112","6.19","2.42"
"1584","精剛","8.47","1.50000000","112","5.43","1.42"
"1586","和勤","43.05","0.13033140","112","0.47","1.45"
"1591","駿吉-KY","N/A","0.00000000","112","0.00","3.96"
"1593","祺驊","28.74","1.60000000","112","4.38","1.12"
"1595","川寶","N/A","0.99813570","112","1.98","0.91"
"1599","宏佳騰","147.86","0.00000000","112","0.00","1.15"
"1742","台蠟","55.00","0.00000000","112","0.00","1.11"
"1777","生泰","12.70","3.50000000","112","3.76","1.69"
"1781","合世","N/A","0.00000000","112","0.00","2.11"
"1784","訊聯","76.10","1.41847555","112","1.78","3.24"
"1785","光洋科","28.33","1.20013385","112","1.92","2.73"
"1788","杏昌","16.71","7.00000000","112","5.04","2.10"
"1796","金穎生技","N/A","2.00000000","112","4.23","2.49"
"1799","易威","N/A","0.00000000","112","0.00","11.09"
"1813","寶利徠","N/A","0.50000000","112","2.73","1.14"
"1815","富喬","N/A","0.00000000","112","0.00","1.95"
"2035","唐榮","N/A","0.00000000","112","0.00","2.70"
"2061","風青","N/A","0.00000000","112","0.00","1.71"
"2063","世鎧","16.72","4.50000000","112","12.52","1.62"
"2064","晉椿","N/A","0.00000000","112","0.00","1.00"
"2065","世豐","14.41","4.34545793","112","8.15","1.64"
"2066","世德","11.90","3.77751226","112","4.21","1.80"
"2067","嘉鋼","N/A","0.00000000","112","0.00","1.88"
"2070","精湛","20.25","1.50000000","112","2.07","2.85"
"2073","雄順","40.43","0.60000000","112","2.15","1.75"
"2221","大甲","17.06","1.30000000","112","4.48","1.24"
"2230","泰茂","18.60","0.93861079","112","0.83","5.06"
"2235","謚源","21.37","2.50000000","112","5.34","1.31"
"2596","綠意","157.88","1.00000000","112","2.44","2.14"
"2640","大車隊","15.44","6.00000000","112","4.67","3.96"
"2641","正德","9.18","0.48155935","112","2.68","0.79"
"2643","捷迅","10.96","5.00000000","112","6.67","1.40"
"2718","全心投控","2.44","3.00000000","112","3.51","1.45"
"2719","燦星旅","14.70","0.00000000","112","0.00","4.40"
"2724","藝舍-KY","14.41","0.00000000","112","0.00","5.07"
"2726","雅茗-KY","13.99","0.00000000","112","0.00","2.30"
"2729","瓦城","23.44","11.00000000","112","5.42","3.17"
"2732","六角","20.20","6.49655101","112","6.31","2.43"
"2734","易飛網","17.32","0.00000000","112","0.00","2.85"
"2736","富野","N/A","0.00000000","112","0.00","1.04"
"2740","天蔥","N/A","0.00000000","112","0.00","5.87"
"2743","山富","11.19","3.00000000","112","3.00","3.55"
"2745","五福","9.45","3.50000000","112","3.41","4.16"
"2751","王座","16.58","5.00000000","112","7.58","2.99"
"2752","豆府","17.19","13.30000000","112","5.50","5.20"
"2754","亞洲藏壽司","40.65","1.50000000","112","1.72","2.45"
"2755","揚秦","18.85","3.60000000","112","3.53","3.97"
"2756","聯發國際","32.21","4.50000000","112","6.05","3.41"
"2916","滿心","12.92","4.00000000","112","8.15","2.11"
"2924","宏太-KY","N/A","0.00000000","112","0.00","2.55"
"2926","誠品生活","113.57","0.00000000","112","0.00","3.97"
"2937","集雅社","12.14","2.00000000","112","5.23","1.61"
"2941","米斯特","19.07","3.18161143","112","5.37","2.52"
"2947","振宇五金","25.91","1.30000000","112","1.53","2.18"
"2948","寶陞","22.86","3.31428571","112","6.90","1.42"
"2949","欣新網","20.81","2.50000000","112","3.14","1.99"
"3064","泰偉","253.33","0.00000000","112","0.00","9.19"
"3066","李洲","19.12","0.00000000","112","0.00","1.56"
"3067","全域","N/A","0.00000000","112","0.00","2.18"
"3071","協禧","42.34","1.03000000","112","3.80","1.99"
"3073","天方能源","106.25","0.00000000","112","0.00","4.24"
"3078","僑威","13.97","4.80000000","112","6.86","2.43"
"3081","聯亞","N/A","0.49997330","112","0.14","8.68"
"3083","網龍","51.69","0.00000000","112","0.00","2.74"
"3085","新零售","N/A","0.00000000","112","0.00","3.51"
"3086","華義","139.91","1.50000004","112","0.98","11.70"
"3088","艾訊","15.91","4.29279723","112","3.97","2.52"
"3093","港建*","27.63","1.80000000","112","6.72","3.96"
"3095","及成","24.82","0.00000000","112","0.00","4.35"
"3105","穩懋","31.13","0.00000000","112","0.00","1.27"
"3114","好德","31.13","1.20000000","112","4.59","1.11"
"3115","富榮綱","N/A","0.00000000","112","0.00","2.06"
"3118","進階","15.69","1.70000000","112","5.36","1.91"
"3122","笙泉","N/A","0.00000000","112","0.00","2.99"
"3128","昇銳","28.65","0.80000000","112","2.91","1.80"
"3131","弘塑","59.00","16.00000000","112","1.01","10.58"
"3141","晶宏","N/A","0.50685875","112","0.68","2.26"
"3147","大綜","24.46","5.00000000","112","2.94","5.14"
"3152","璟德","31.54","3.68000000","112","1.99","3.48"
"3162","精確","N/A","0.00000000","112","0.00","1.85"
"3163","波若威","29.40","3.60000000","112","2.73","3.98"
"3169","亞信","30.63","3.50000000","112","3.26","3.98"
