table_name,table_name_cn,column_name,column_name_cn
bs,資產負債表,seasonsID,季度編號
bs,資產負債表,OPRP,其他應付款項－關係人
bs,資產負債表,PCC,應付建造合約款
bs,資產負債表,PCCR,應付建造合約款－關係人
bs,資產負債表,CITL,本期所得稅負債
bs,資產負債表,CPITL,當期所得稅負債
bs,資產負債表,LDANA,與待出售非流動資產直接相關之負債
bs,資產負債表,DITA,遞延所得稅資產
bs,資產負債表,HDFLC,避險之衍生金融負債－流動
bs,資產負債表,HDFLNC,避險之衍生金融負債－非流動
bs,資產負債表,HDFAC,避險之衍生金融資產－流動
bs,資產負債表,HDFANC,避險之衍生金融資產－非流動
bs,資產負債表,CSEQ,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數
bs,資產負債表,CSRT,待註銷股本
bs,資產負債表,OSC,普通股股本
bs,資產負債表,UE,未分配盈餘（或待彌補虧損）
bs,資產負債表,LR,法定盈餘公積
bs,資產負債表,SR,特別盈餘公積
bs,資產負債表,CSCO,資本公積-認列對子公司所有權權益變動數
bs,資產負債表,CSD,資本公積－受贈資產
bs,資產負債表,CSMS,資本公積－合併溢額
bs,資產負債表,CSDP,資本公積－實際取得或處分子公司股權價格與帳面價值差額
bs,資產負債表,CSEQM,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數
bs,資產負債表,CSP,資本公積－發行溢價
bs,資產負債表,CSR,資本公積－限制員工權利股票
bs,資產負債表,PPE,不動產、廠房及設備
bs,資產負債表,FAMCNC,以成本衡量之金融資產－非流動淨額
bs,資產負債表,RUA,使用權資產
bs,資產負債表,TRE,保留盈餘合計
bs,資產負債表,AFSC,備供出售金融資產－流動淨額
bs,資產負債表,AFSNC,備供出售金融資產－非流動淨額
bs,資產負債表,OP,其他應付款
bs,資產負債表,ORRP,其他應收款－關係人淨額
bs,資產負債表,TOE,其他權益合計
bs,資產負債表,OCL,其他流動負債
bs,資產負債表,OCA,其他流動資產
bs,資產負債表,ONCL,其他非流動負債
bs,資產負債表,ONCA,其他非流動資產
bs,資產負債表,INV,存貨
bs,資產負債表,TS,庫藏股票
bs,資產負債表,NCAHFS,待出售非流動資產（淨額）
bs,資產負債表,CBP,應付公司債
bs,資產負債表,AP,應付帳款
bs,資產負債表,APR,應付帳款－關係人
bs,資產負債表,STNP,應付短期票券
bs,資產負債表,ARN,應收帳款淨額
bs,資產負債表,ARRP,應收帳款－關係人淨額
bs,資產負債表,HTMCN,持有至到期日金融資產－流動淨額
bs,資產負債表,HTMNCN,持有至到期日金融資產－非流動淨額
