TABLE_NAME,COLUMN_NAME
customer,ADDRESS
customer,AREA
customer,CITY
customer,CREDITLIMIT
customer,CUSTID
customer,NAME
customer,PHONE
customer,REPID
customer,STATE
customer,ZIP
dept,DEPTNO
dept,DNAME
dept,LOC
dept20,DEPARTMENT_NO
dept20,EMPLOYEE
dept20,EMPLOYEE_ID
emp,COMM
emp,DEPTNO
emp,EMPNO
emp,ENAME
emp,HIREDATE
emp,JOB
emp,MGR
emp,SAL
emp_vu,DEPTNO
emp_vu,EMPLOYEE
emp_vu,EMPNO
item,ACTUALPRICE
item,ITEMTOT
item,ORDID
item,PRODID
item,QTY
ord,COMMPLAN
ord,CUSTID
ord,ORDERDATE
ord,ORDID
ord,SHIPDATE
ord,TOTAL
price,ENDDATE
price,MINPRICE
price,PRODID
price,STARTDATE
price,STDPRICE
product,DESCRIP
product,PRODID
salary_vu,Department
salary_vu,Employee
salary_vu,Grade
salary_vu,Salary
salgrade,GRADE
salgrade,HISAL
salgrade,LOSAL
