table_name,table_name_cn,column_name,column_name_cn
bs,資產負債表,seasonsID,季度編號
bs,資產負債表,seasons,季度
bs,資產負債表,RE,保留盈餘合計
bs,資產負債表,OP,其他應付款
bs,資產負債表,ORR,其他應付款項－關係人
bs,資產負債表,ORRN,其他應收款－關係人淨額
bs,資產負債表,OE,其他權益合計
bs,資產負債表,CL,其他流動負債
bs,資產負債表,CA,其他流動資產
bs,資產負債表,NFL,其他非流動負債
bs,資產負債表,NFA,其他非流動資產
bs,資產負債表,INV,存貨
bs,資產負債表,TS,庫藏股票
bs,資產負債表,BDP,應付公司債
bs,資產負債表,AP,應付帳款
bs,資產負債表,APR,應付帳款－關係人
bs,資產負債表,ARN,應收帳款淨額
bs,資產負債表,ARRN,應收帳款－關係人淨額
bs,資產負債表,EIV,採用權益法之投資
bs,資產負債表,CSE,普通股股本
bs,資產負債表,REU,未分配盈餘（或待彌補虧損）
bs,資產負債表,CITL,本期所得稅負債
bs,資產負債表,TOEQ,權益總額
bs,資產負債表,POE,歸屬於母公司業主之權益合計
bs,資產負債表,TSS,母公司暨子公司所持有之母公司庫藏股股數（單位：股）
bs,資產負債表,LEU,法定盈餘公積
bs,資產負債表,TCL,流動負債合計
bs,資產負債表,TCA,流動資產合計
bs,資產負債表,IA,無形資產
bs,資產負債表,SEU,特別盈餘公積
bs,資產負債表,CE,現金及約當現金
bs,資產負債表,STB,短期借款
bs,資產負債表,NFLR,租賃負債－非流動
bs,資產負債表,TEQ,股本合計
bs,資產負債表,TLQ,負債及權益總計
bs,資產負債表,CPL,負債準備－流動
bs,資產負債表,CPNL,負債準備－非流動
bs,資產負債表,TL,負債總額
bs,資產負債表,CSCS,資本公積-認列對子公司所有權權益變動數
bs,資產負債表,CPC,資本公積合計
bs,資產負債表,TA,資產總額
bs,資產負債表,DTL,遞延所得稅負債
bs,資產負債表,DTA,遞延所得稅資產
bs,資產負債表,LTB,長期借款
bs,資產負債表,NCI,非控制權益
bs,資產負債表,TNFL,非流動負債合計
bs,資產負債表,TNFA,非流動資產合計
cfs,現金流量表,seasonsID,季度編號
cfs,現金流量表,seasons,季度
cfs,現金流量表,NCI,不影響現金流量之收益費損項目合計
cfs,現金流量表,BDI_BRE,公司債之發行(償還)
cfs,現金流量表,ORR,其他應收款–關係人(增加)減少
cfs,現金流量表,CLO,其他流動負債增加(減少)
cfs,現金流量表,LA,其他流動資產(增加)減少
cfs,現金流量表,OBOL,其他營業負債增加(減少)
cfs,現金流量表,OBOA,其他營業資產(增加)減少
cfs,現金流量表,OFA,其他金融資產(增加)減少
cfs,現金流量表,ONFA,其他非流動資產(增加)減少
cfs,現金流量表,IR,利息收入
cfs,現金流量表,ICR,利息費用提列(迴轉)數
cfs,現金流量表,BDE,呆帳費用提列(轉列收入)數
cfs,現金流量表,FA,固定資產(增加)減少
cfs,現金流量表,SSE,子公司股權(增加)減少
cfs,現金流量表,SID,存入保證金增加(減少)
cfs,現金流量表,SOD,存出保證金(增加)減少
cfs,現金流量表,INV,存貨(增加)減少
cfs,現金流量表,RSS,已實現銷貨損失(利益)
cfs,現金流量表,TSR,庫藏股之(買回)賣出
cfs,現金流量表,APR,應付帳款–關係人增加(減少)
cfs,現金流量表,AP,應付帳款增加(減少)
cfs,現金流量表,ALP,應付租賃款增加(減少)
cfs,現金流量表,AR,應收帳款(增加)減少
cfs,現金流量表,ARR,應收帳款–關係人(增加)減少
cfs,現金流量表,ARC,應收款項(增加)減少
cfs,現金流量表,ARPL,應計退休金負債增加(減少)
cfs,現金流量表,TP_TR,所得稅之(支付)退還
cfs,現金流量表,NICFI,投資活動之淨現金流入(出)
cfs,現金流量表,DE,折舊費用
cfs,現金流量表,AE,攤銷費用
cfs,現金流量表,IP,收取(支付)之利息
cfs,現金流量表,IRR,收取之利息
cfs,現金流量表,DR,收取之股利
cfs,現金流量表,BOCE,期初現金及約當現金餘額
cfs,現金流量表,EOCE,期末現金及約當現金餘額
cfs,現金流量表,NP,本期淨利(淨損)
cfs,現金流量表,CINC,本期現金及約當現金增加(減少)數
cfs,現金流量表,IA,無形資產(增加)減少
cfs,現金流量表,NICFO,營業活動之淨現金流入(出)
cfs,現金流量表,TNCL,營業活動相關之負債淨變動合計
cfs,現金流量表,TNCA_L,營業活動相關之資產及負債淨變動合計
cfs,現金流量表,TNCA,營業活動相關之資產淨變動合計
cfs,現金流量表,CFI_CO,營運產生之現金流入(出)
cfs,現金流量表,CCD,發放現金股利
cfs,現金流量表,STL,短期借款增加(減少)
cfs,現金流量表,LP,租賃本金增加(減少)
cfs,現金流量表,CINP,繼續營業單位淨利(淨損)
cfs,現金流量表,DI,股利收入
cfs,現金流量表,LDPFA,處分及報廢固定資產損失(利益)
cfs,現金流量表,NICFF,融資活動之淨現金流入(出)
cfs,現金流量表,AT,調整項目合計
cfs,現金流量表,PL,負債準備增加(減少)
cfs,現金流量表,HDFA,避險之衍生性金融負債除列
cfs,現金流量表,HDIA,避險之衍生性金融資產(增加)減少
cfs,現金流量表,FIAIL,金融資產減損損失(迴轉利益)
cfs,現金流量表,LTL,長期借款增加(減少)
cfs,現金流量表,NFAIL,非金融資產減損損失(迴轉利益)
pl,綜合損益表,seasonsID,季度編號
pl,綜合損益表,seasons,季度
pl,綜合損益表,OGL,其他利益及損失
pl,綜合損益表,O_R,其他收入
pl,綜合損益表,OTIE,其他收益及費損合計
pl,綜合損益表,TOCI,其他綜合損益合計
pl,綜合損益表,IR,利息收入
pl,綜合損益表,CNPL,合併稅後淨利
pl,綜合損益表,RSG,已實現銷貨損益
pl,綜合損益表,OTRCI,後續可能重分類至損益之項目合計
pl,綜合損益表,ITE,所得稅費用
pl,綜合損益表,USG,未實現銷貨損益
pl,綜合損益表,NOI,業外損益合計
